19.94 cm
17.68 cm
22.98 cm
18.94 cm
21.13 cm
25.40 cm
24.04 cm
18.46 cm
22.15 cm
22.42 cm
22.20 cm
19.16 cm
22.73 cm
21.08 cm
22.15 cm
22.90 cm
17.68 cm
16.20 cm
16.37 cm
15.79 cm
18.46 cm
19.23 cm
21.61 cm
22.49 cm
22.37 cm
21.85 cm
17.20 cm
12.10 cm
28.08 cm
19.60 cm
21.06 cm
19.94 cm
25.87 cm
19.16 cm
18.16 cm
14.47 cm
13.87 cm
14.89 cm
18.16 cm
17.92 cm
22.27 cm
21.96 cm
22.97 cm
26.01 cm
26.04 cm
31.13 cm
28.19 cm
25.77 cm
43.54 cm
23.41 cm
17.56 cm
17.14 cm
49.91 cm
26.25 cm
28.85 cm
28.80 cm
25.47 cm
23.99 cm
23.80 cm
20.37 cm
19.94 cm
19.75 cm
19.16 cm
16.92 cm
