#!,Workbook:,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Distance: 6.51 cm
Distance: 6.51 cm
Distance: 6.41 cm
Distance: 6.51 cm
Distance: 6.51 cm
Distance: 6.41 cm
Distance: 6.04 cm
Distance: 6.41 cm
Distance: 6.04 cm
Distance: 6.51 cm
Distance: 5.93 cm
Distance: 6.51 cm
Distance: 6.04 cm
Distance: 6.41 cm
Distance: 6.04 cm
Distance: 5.92 cm
Distance: 6.04 cm
Distance: 6.04 cm
Distance: 5.93 cm
Distance: 6.04 cm
Distance: 6.04 cm
Distance: 6.04 cm
Distance: 6.04 cm
Distance: 5.81 cm
Distance: 5.85 cm
Distance: 6.27 cm
Distance: 5.70 cm
Distance: 5.80 cm
Distance: 5.70 cm
Distance: 6.32 cm
Distance: 6.39 cm
Distance: 6.27 cm
Distance: 5.97 cm
Distance: 6.44 cm
Distance: 5.98 cm
Distance: 6.15 cm
Distance: 6.05 cm
Distance: 6.15 cm
Distance: 6.56 cm
Distance: 6.05 cm
Distance: 6.63 cm
Distance: 5.73 cm
Distance: 6.22 cm
Distance: 6.68 cm
Distance: 6.65 cm
Distance: 6.80 cm
Distance: 6.70 cm
Distance: 5.98 cm
Distance: 6.09 cm
Distance: 6.58 cm
Distance: 6.04 cm
Distance: 6.15 cm
Distance: 6.10 cm
Distance: 7.17 cm
Distance: 7.75 cm
Distance: 8.11 cm
Distance: 8.19 cm
Distance: 8.89 cm
Distance: 9.25 cm
Distance: 9.01 cm
Distance: 9.03 cm
Distance: 9.15 cm
Distance: 9.84 cm
Distance: 9.66 cm
Distance: 10.13 cm
Distance: 10.10 cm
Distance: 10.56 cm
Distance: 11.10 cm
Distance: 11.82 cm
Distance: 12.17 cm
Distance: 12.94 cm
Distance: 13.72 cm
Distance: 14.43 cm
Distance: 14.94 cm
Distance: 15.13 cm
Distance: 15.50 cm
Distance: 16.29 cm
Distance: 16.15 cm
Distance: 16.39 cm
Distance: 16.57 cm
Distance: 16.86 cm
Distance: 17.22 cm
Distance: 17.65 cm
Distance: 17.88 cm
Distance: 18.05 cm
Distance: 18.17 cm
Distance: 18.34 cm
Distance: 18.38 cm
Distance: 18.48 cm
